id,typ,upplåtelseform,pris,avgift,rum,boyta,kvadratmeterpris,område,stad,adress,lat,lon,tillgänglig,created_at,valuta,boyta_enhet,pris_per_kvm
1,hus,köpa,11411993,4177,4,108,105666,Bromma,Stockholm,Drottninggatan 28,59.3382,17.94255,True,2025-08-29,SEK,m²,105667.0
2,hus,köpa,6959222,2820,6,138,50429,Rosengård,Malmö,Skolvägen 104,55.58171,13.03274,True,2026-03-18,SEK,m²,50429.0
3,lägenhet,hyra,10345,0,3,75,0,Västra Hamnen,Malmö,Drottninggatan 90,55.6047,12.96912,True,2025-09-22,SEK,m²,138.0
4,lägenhet,köpa,3484199,3983,3,69,50495,Linnéstaden,Göteborg,Kyrkogatan 33,57.69446,11.96088,True,2026-01-01,SEK,m²,50496.0
5,lägenhet,hyra,7077,0,2,42,0,Limhamn,Malmö,Hornsgatan 94,55.58295,12.93665,False,2025-09-14,SEK,m²,168.0
6,lägenhet,hyra,5255,0,2,38,0,Nacka,Stockholm,Parkvägen 117,59.31927,18.15843,True,2026-02-05,SEK,m²,138.0
7,lägenhet,köpa,2932247,4661,3,66,44427,Limhamn,Malmö,Storgatan 16,55.58862,12.9365,True,2025-08-07,SEK,m²,44428.0
8,lägenhet,köpa,1367041,1837,1,27,50631,Majorna,Göteborg,Bergsgatan 70,57.69715,11.92887,False,2026-02-21,SEK,m²,50631.0
9,lägenhet,köpa,3767760,4204,2,56,67281,Hisingen,Göteborg,Hornsgatan 71,57.73158,11.90785,True,2025-12-14,SEK,m²,67281.0
10,hus,köpa,6498013,3567,5,125,51984,Linnéstaden,Göteborg,Drottninggatan 89,57.69484,11.95641,False,2025-05-03,SEK,m²,51984.0
11,lägenhet,hyra,9242,0,3,69,0,Hägersten,Stockholm,Kungsgatan 117,59.30316,17.99312,True,2025-05-10,SEK,m²,134.0
12,hus,köpa,1051827,2364,1,23,45731,Hyllie,Malmö,Sveavägen 19,55.5688,12.98361,True,2026-01-13,SEK,m²,45732.0
13,lägenhet,köpa,988933,1054,1,18,54940,Majorna,Göteborg,Björkgatan 14,57.70642,11.92857,True,2025-09-09,SEK,m²,54941.0
14,hus,köpa,4482106,1682,3,75,59761,Hisingen,Göteborg,Kungsgatan 65,57.73454,11.89358,False,2025-05-31,SEK,m²,59761.0
15,lägenhet,köpa,3729031,3995,4,72,51792,Hyllie,Malmö,Drottninggatan 79,55.56111,12.96609,True,2026-01-10,SEK,m²,51792.0
16,hus,köpa,4014724,3387,3,78,51470,Hisingen,Göteborg,Björkgatan 57,57.7335,11.90143,False,2025-08-21,SEK,m²,51471.0
17,lägenhet,hyra,5722,0,2,44,0,Majorna,Göteborg,Björkgatan 69,57.70548,11.92576,True,2025-11-06,SEK,m²,130.0
18,lägenhet,hyra,24526,0,6,144,0,Hyllie,Malmö,Bergsgatan 42,55.55658,12.97035,True,2025-06-13,SEK,m²,170.0
19,lägenhet,köpa,5996431,4911,3,81,74030,Centrum,Göteborg,Björkgatan 57,57.70637,11.97519,True,2025-06-17,SEK,m²,74030.0
20,hus,köpa,3361186,4290,5,105,32011,Västra Hamnen,Malmö,Drottninggatan 12,55.62155,12.98099,True,2025-05-21,SEK,m²,32011.0
21,hus,köpa,5418659,3061,5,105,51606,Centrum,Göteborg,Strandvägen 22,57.70658,11.97348,True,2026-03-18,SEK,m²,51606.0
22,lägenhet,köpa,1794194,2503,2,56,32039,Västra Hamnen,Malmö,Strandvägen 47,55.61593,12.96768,True,2025-10-14,SEK,m²,32039.0
23,lägenhet,köpa,5699287,5104,4,108,52771,Hyllie,Malmö,Parkvägen 27,55.57067,12.97658,True,2025-12-12,SEK,m²,52771.0
24,hus,köpa,4036388,2148,2,48,84091,Östermalm,Stockholm,Skolvägen 45,59.33393,18.08263,True,2026-02-27,SEK,m²,84091.0
25,hus,köpa,5555098,4131,3,84,66132,Majorna,Göteborg,Kyrkogatan 66,57.70358,11.93505,False,2026-01-29,SEK,m²,66132.0
26,hus,köpa,1795052,4350,2,54,33241,Limhamn,Malmö,Kyrkogatan 44,55.59181,12.92476,True,2025-07-10,SEK,m²,33242.0
27,lägenhet,hyra,6582,0,2,52,0,Kungsholmen,Stockholm,Storgatan 47,59.33546,18.02418,True,2025-12-08,SEK,m²,127.0
28,lägenhet,köpa,2338350,1901,2,38,61535,Majorna,Göteborg,Strandvägen 84,57.69663,11.9362,True,2026-01-31,SEK,m²,61536.0
29,lägenhet,köpa,7393296,12538,6,168,44007,Limhamn,Malmö,Björkgatan 28,55.58344,12.92112,True,2026-02-06,SEK,m²,44008.0
30,lägenhet,köpa,5514655,2808,2,42,131301,Södermalm,Stockholm,Sveavägen 95,59.31247,18.07721,True,2026-02-09,SEK,m²,131301.0
31,lägenhet,hyra,3483,0,1,24,0,Hyllie,Malmö,Skolvägen 43,55.56701,12.97944,True,2025-09-27,SEK,m²,145.0
32,hus,köpa,4166242,2408,3,75,55549,Linnéstaden,Göteborg,Drottninggatan 112,57.69446,11.94349,True,2025-08-25,SEK,m²,55550.0
33,hus,köpa,4647224,4480,6,144,32272,Västra Hamnen,Malmö,Storgatan 97,55.61997,12.97024,True,2026-03-15,SEK,m²,32272.0
34,hus,köpa,5743548,2286,5,135,42544,Västra Hamnen,Malmö,Skolvägen 81,55.61007,12.97293,False,2026-03-06,SEK,m²,42545.0
35,hus,köpa,3891576,2708,2,38,102409,Solna,Stockholm,Sveavägen 85,59.35981,17.99538,True,2025-12-20,SEK,m²,102410.0
36,lägenhet,köpa,1367480,2489,2,38,35986,Hyllie,Malmö,Sveavägen 29,55.56362,12.98017,False,2025-10-08,SEK,m²,35986.0
37,lägenhet,köpa,757326,849,1,20,37866,Rosengård,Malmö,Kyrkogatan 87,55.59765,13.03891,True,2025-07-05,SEK,m²,37866.0
38,hus,köpa,2494443,1862,1,21,118783,Solna,Stockholm,Sveavägen 111,59.35142,17.99726,False,2025-11-23,SEK,m²,118783.0
39,lägenhet,köpa,708191,1153,1,19,37273,Västra Hamnen,Malmö,Kungsgatan 100,55.61699,12.97978,False,2025-05-09,SEK,m²,37273.0
40,hus,köpa,11588653,2540,4,112,103470,Lidingö,Stockholm,Sveavägen 52,59.36282,18.14732,True,2026-01-31,SEK,m²,103470.0
41,lägenhet,hyra,19092,0,4,112,0,Linnéstaden,Göteborg,Kungsgatan 104,57.68959,11.94883,False,2025-10-14,SEK,m²,170.0
42,hus,köpa,3997373,1572,4,100,39973,Limhamn,Malmö,Kyrkogatan 61,55.5796,12.93225,False,2025-09-29,SEK,m²,39974.0
